Region,Actual Percentage 2009/10,Actual Percentage 2010/11,Actual Percentage 2011/12,Actual Percentage 2012/13,Actual Percentage 2013/14,Actual Percentage 2014/15,Actual Percentage 2015/16,Actual Percentage 2016/17,Percentage Percentage 2009/10,Percentage Percentage 2010/11,Percentage Percentage 2011/12,Percentage Percentage 2012/13,Percentage Percentage 2013/14,Percentage Percentage 2014/15,Percentage Percentage 2015/16,Percentage Percentage 2016/17
Auckland,3706,4002,4063,4648,4310,4640,5368,4861,0.448776944,0.496402878,0.492246184,0.561217097,0.468631075,0.491942324,0.482126819,0.472216825
Canterbury,861,754,990,774,1624,1469,1768,1738,0.104262533,0.09352518,0.119941846,0.093455687,0.176579319,0.155746395,0.158792887,0.168836215
Wellington,1194,939,1045,1076,991,1055,1218,1115,0.144587067,0.116472339,0.126605282,0.129920309,0.107752528,0.111853265,0.109394647,0.108315524
Waikato,730,600,537,548,501,540,632,586,0.088399128,0.07442322,0.065059365,0.066167592,0.054474285,0.057251908,0.056763068,0.056926365
Bay of Plenty,407,438,305,276,398,461,582,516,0.049285541,0.054328951,0.036951781,0.033325284,0.043274981,0.048876166,0.052272319,0.050126287
Otago,288,313,378,162,374,328,368,395,0.034875272,0.038824113,0.045795978,0.019560493,0.040665434,0.034775233,0.033051913,0.038371867
Northland,205,203,146,143,142,168,202,211,0.024824413,0.025179856,0.017688394,0.017266361,0.015439817,0.017811705,0.018142626,0.020497377
Manawatu-Wanganui,211,201,190,171,188,160,205,193,0.025550981,0.024931779,0.023019142,0.020647187,0.020441448,0.016963528,0.018412071,0.018748786
Southland,92,91,124,63,139,130,152,163,0.011140712,0.011287522,0.015023019,0.007606858,0.015113624,0.013782867,0.013651877,0.015834467
Hawkes Bay,137,139,87,125,134,147,226,158,0.016589973,0.017241379,0.010540344,0.015092973,0.014569968,0.015585242,0.020298186,0.015348747
Taranaki,202,174,133,168,166,142,169,121,0.024461129,0.021582734,0.0161134,0.020284955,0.018049364,0.015055131,0.015178732,0.01175442
Nelson,84,66,92,42,90,61,101,91,0.010171954,0.008186554,0.011146111,0.005071239,0.0097858,0.006467345,0.009071313,0.008840101
West Coast,57,66,66,29,50,56,51,63,0.006902398,0.008186554,0.007996123,0.00350157,0.005436555,0.005937235,0.004580564,0.00612007
Marlborough,63,60,76,31,73,53,58,57,0.007628966,0.007442322,0.009207657,0.003743057,0.007937371,0.005619169,0.005209269,0.005537206
Gisborne,21,16,22,26,17,22,34,26,0.002542989,0.001984619,0.002665374,0.003139338,0.001848429,0.002332485,0.003053709,0.002525743
Total,8258,8062,8254,8282,9197,9432,11134,10294,1,1,1,1,1,1,1,1
